modelKey,company,productFamily,asin,month,split,actualSales,predictedSales,actualRevenue,predictedRevenue,priceUsedForRevenue
company:tnl:all:log_linear,tnl,Mighty Patch core,B0D38DMBPQ,2025-07,train,375.258064516129,347.407838282795,4913.384193548386,4540.172178177704,13.068709677419363
company:tnl:all:log_linear,tnl,Mighty Patch core,B0D38DMBPQ,2025-08,train,435.51612903225805,424.32014098356984,5708.772903225805,5545.316732795928,13.068709677419363
company:tnl:all:log_linear,tnl,Mighty Patch core,B0D38DMBPQ,2025-09,train,515.6666666666666,526.629688834597,6704.6686666666665,6866.548969484704,13.038666666666675
company:tnl:all:log_linear,tnl,Mighty Patch core,B0D38DMBPQ,2025-10,train,591.3225806451613,415.7305414827528,7477.69612903226,5442.181001261808,13.090645161290333
company:tnl:all:log_linear,tnl,Mighty Patch core,B0D38DMBPQ,2025-11,train,508.73333333333335,454.6405189128367,5801.216333333334,5199.875161645753,11.437333333333338
company:tnl:all:log_linear,tnl,Mighty Patch core,B0D38DMBPQ,2025-12,train,646.2903225806451,517.1479922081483,8570.194516129033,6853.712294154702,13.252903225806461
company:tnl:all:log_linear,tnl,Mighty Patch core,B0D38DMBPQ,2026-01,train,469.2903225806452,392.04427961963194,5935.904838709678,4944.057763693516,12.610967741935491
company:tnl:all:log_linear,tnl,Mighty Patch core,B0D38DMBPQ,2026-02,train,552.5,441.03039263768375,7032.095714285715,5622.192441003391,12.747857142857152
company:tnl:all:log_linear,tnl,Mighty Patch core,B0D38DMBPQ,2026-03,train,541.0322580645161,417.51090808019813,6866.178064516129,5319.627692694089,12.741290322580653
company:tnl:all:log_linear,tnl,Mighty Patch core,B0D38DMBPQ,2026-04,train,539.7,389.94817056832454,7134.834000000002,5155.114814913254,13.22000000000001
company:tnl:all:log_linear,tnl,Mighty Patch core,B0D38DMBPQ,2026-05,train,528.625,330.6797000022925,6988.4225000000015,4371.585634030309,13.220000000000006
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0DLLDXQ18,2025-06,train,62.13333333333333,131.87632293654244,931.3786666666668,1976.826080818772,14.990000000000006
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0DLLDXQ18,2025-07,train,71.2258064516129,131.48329612073135,1067.6748387096773,1970.934608849764,14.990000000000006
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0DLLDXQ18,2025-08,train,62.61290322580645,131.2582147207846,874.6158064516131,1838.3348092039703,14.005483870967751
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0DLLDXQ18,2025-09,train,65.33333333333333,158.0889513081302,885.2260000000001,2129.9324409744395,13.47300000000001
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0DLLDXQ18,2025-10,train,51.74193548387097,110.17776666925143,735.1922580645161,1574.902321499314,14.294193548387108
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0DLLDXQ18,2025-11,train,38.4,84.35022833977466,464.581,867.0922305901038,10.27966666666667
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0DLLDXQ18,2025-12,train,28.64516129032258,62.93292045111466,414.3309677419355,790.1532676768666,12.55548387096775
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0DLLDXQ18,2026-01,train,66.70967741935483,122.9124455916081,964.5964516129034,1768.868688767231,14.391290322580655
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0DLLDXQ18,2026-02,train,56.035714285714285,107.51107803493258,838.8546428571427,1609.440838182942,14.970000000000011
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0DLLDXQ18,2026-03,train,70.96774193548387,115.60004793892982,789.063870967742,1283.9436292210628,11.106774193548393
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0DLLDXQ18,2026-04,train,71.36666666666666,114.8310523494651,1002.4910000000002,1604.4194634267276,13.97200000000001
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0DLLDXQ18,2026-05,train,94.79166666666667,128.672165292655,1419.03125,1926.2223144310462,14.970000000000008
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DNR8RF83,2025-06,train,11259.766666666666,19131.890808239084,257848.6566666666,438120.29950867477,22.899999999999988
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DNR8RF83,2025-07,train,12315.483870967742,16882.186675597863,282024.5806451613,386602.0748711909,22.899999999999988
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DNR8RF83,2025-08,train,10425.935483870968,17017.723671602744,223467.80322580648,364563.5577519799,21.42258064516128
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DNR8RF83,2025-09,train,10731.933333333332,19131.890808239084,245761.27333333326,438120.29950867477,22.899999999999988
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DNR8RF83,2025-10,train,9089.645161290322,13434.59165025955,178875.4287096774,263248.6565172148,19.59483870967741
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DNR8RF83,2025-11,train,9741,13709.034255354216,196284.58800000008,277278.9268487942,20.22599999999999
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DNR8RF83,2025-12,train,9186.193548387097,12302.715898931756,145976.88999999998,188576.82302243228,15.328064516129027
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DNR8RF83,2026-01,train,7623.096774193548,8563.673103135823,22504.790322580644,18978.204586626805,2.2161290322580642
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DNR8RF83,2026-02,train,7238.392857142857,11803.033646852842,6185.453571428571,9653.195375461788,0.8178571428571428
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DNR8RF83,2026-03,train,8356.677419354839,9113.751785301889,39291.22903225806,40394.49984840257,4.432258064516129
company:tnl:all:log_linear,tnl,Mighty Patch core,B0DNR8RF83,2026-04,train,9606.466666666667,13041.139222618867,218425.68666666665,296620.711618466,22.74499999999999
