company,company_label,stock_ticker,date,month,close,adj_close,volume,month_return,index_100
"coway","Coway","021240.KS","2026-04-30","2026-04","86100","86100","384403","22.57","117.7"
"coway","Coway","021240.KS","2026-05-27","2026-05","91500","91500","198041","6.27","125.09"
"samyang","Samyang Foods","003230.KS","2021-05-31","2021-05","90200","86117.72","39920",,"100"
"samyang","Samyang Foods","003230.KS","2021-06-30","2021-06","90800","86690.56","20936","0.67","100.67"
"samyang","Samyang Foods","003230.KS","2021-07-30","2021-07","91800","87645.3","37951","1.1","101.77"
"samyang","Samyang Foods","003230.KS","2021-08-31","2021-08","83300","79530.02","16467","9.26","92.35"
"samyang","Samyang Foods","003230.KS","2021-09-30","2021-09","81700","78002.44","12629","1.92","90.58"
"samyang","Samyang Foods","003230.KS","2021-10-29","2021-10","81800","78097.9","20963","0.12","90.69"
"samyang","Samyang Foods","003230.KS","2021-11-30","2021-11","78900","75329.15","53110","3.55","87.47"
"samyang","Samyang Foods","003230.KS","2021-12-30","2021-12","94800","91476.52","37327","21.44","106.22"
"samyang","Samyang Foods","003230.KS","2022-01-28","2022-01","84800","81827.11","59406","10.55","95.02"
"samyang","Samyang Foods","003230.KS","2022-02-28","2022-02","87000","83949.98","0","2.59","97.48"
"samyang","Samyang Foods","003230.KS","2022-03-31","2022-03","93200","89932.62","46645","7.13","104.43"
"samyang","Samyang Foods","003230.KS","2022-04-29","2022-04","98300","94853.82","115614","5.47","110.14"
"samyang","Samyang Foods","003230.KS","2022-05-31","2022-05","92500","89257.16","54003","5.9","103.65"
"samyang","Samyang Foods","003230.KS","2022-06-30","2022-06","101500","98708.29","67526","10.59","114.62"
"samyang","Samyang Foods","003230.KS","2022-07-29","2022-07","103000","100167.05","54206","1.48","116.31"
"samyang","Samyang Foods","003230.KS","2022-08-31","2022-08","111500","108433.25","45513","8.25","125.91"
"samyang","Samyang Foods","003230.KS","2022-09-30","2022-09","106000","103084.53","85294","4.93","119.7"
"samyang","Samyang Foods","003230.KS","2022-10-31","2022-10","111000","107947.01","20208","4.72","125.35"
"samyang","Samyang Foods","003230.KS","2022-11-30","2022-11","111500","108433.25","58017","0.45","125.91"
"samyang","Samyang Foods","003230.KS","2022-12-29","2022-12","127000","124097.88","46522","14.45","144.1"
"samyang","Samyang Foods","003230.KS","2023-01-31","2023-01","122200","119407.57","41","3.78","138.66"
"samyang","Samyang Foods","003230.KS","2023-02-28","2023-02","119300","116573.85","33473","2.37","135.37"
"samyang","Samyang Foods","003230.KS","2023-03-31","2023-03","119200","116476.11","57016","0.08","135.25"
"samyang","Samyang Foods","003230.KS","2023-04-28","2023-04","116400","113740.1","42922","2.35","132.08"
"samyang","Samyang Foods","003230.KS","2023-05-31","2023-05","108100","105629.78","75293","7.13","122.66"
"samyang","Samyang Foods","003230.KS","2023-06-30","2023-06","107000","105542.21","64707","0.08","122.56"
"samyang","Samyang Foods","003230.KS","2023-07-31","2023-07","121000","119351.47","43772","13.08","138.59"
"samyang","Samyang Foods","003230.KS","2023-08-31","2023-08","194400","191751.45","72609","60.66","222.66"
"samyang","Samyang Foods","003230.KS","2023-09-27","2023-09","202000","199247.89","89218","3.91","231.37"
"samyang","Samyang Foods","003230.KS","2023-10-31","2023-10","183400","180901.31","45102","9.21","210.06"
"samyang","Samyang Foods","003230.KS","2023-11-30","2023-11","211500","208618.47","48358","15.32","242.25"
"samyang","Samyang Foods","003230.KS","2023-12-28","2023-12","216000","214130.25","32301","2.64","248.65"
"samyang","Samyang Foods","003230.KS","2024-01-31","2024-01","183900","182308.11","60236","14.86","211.7"
"samyang","Samyang Foods","003230.KS","2024-02-29","2024-02","170900","169420.66","72333","7.07","196.73"
"samyang","Samyang Foods","003230.KS","2024-03-29","2024-03","210500","208677.86","49874","23.17","242.32"
"samyang","Samyang Foods","003230.KS","2024-04-30","2024-04","295500","292942.09","71519","40.38","340.16"
