company,company_label,country_scope,month,quarter,export_value_usd,export_value_krw,export_weight_kg
"samyang","삼양식품","total","2024-12","2024-Q4","128910713","183134247789","33148582.813"
"samyang","삼양식품","total","2025-01","2025-Q1","124047509","181393955991","31483368.025"
"samyang","삼양식품","total","2025-02","2025-Q1","140930922","203736801324","35601042.527"
"samyang","삼양식품","total","2025-03","2025-Q1","137387376","199118963944","33476352.091"
"samyang","삼양식품","total","2025-04","2025-Q2","157011040","227920171704","38497086.971"
"samyang","삼양식품","total","2025-05","2025-Q2","148840382","209590605274","36364049.783"
"samyang","삼양식품","total","2025-06","2025-Q2","145831043","199667225426","34950169.617"
"samyang","삼양식품","total","2025-07","2025-Q3","151780573","208140659232","38516778.107"
"samyang","삼양식품","total","2025-08","2025-Q3","132584564","183960368607","33524517.451"
"samyang","삼양식품","total","2025-09","2025-Q3","169198350","235191636948","42780674.652"
"samyang","삼양식품","total","2025-10","2025-Q4","147235057","208201962178","37585525.885"
"samyang","삼양식품","total","2025-11","2025-Q4","144170928","208853474132","37265191.629"
"samyang","삼양식품","total","2025-12","2025-Q4","160086413","235520402002","39600551.38"
"samyang","삼양식품","total","2026-01","2026-Q1","149286808","217431599366","36694671.45"
"samyang","삼양식품","total","2026-02","2026-Q1","157904362","228726923423","38389095.308"
"samyang","삼양식품","total","2026-03","2026-Q1","185244946","272383674374","45159100.59"
"samyang","삼양식품","total","2026-04","2026-Q2","205220661","306552129357","49363682.215"
"samyang","삼양식품","us","2022-01","2022-Q1","14193168","16742123294","3565505.33"
"samyang","삼양식품","us","2022-02","2022-Q1","10928384","12981679459","2844696.42"
"samyang","삼양식품","us","2022-03","2022-Q1","14366696","17231773538","3574258.83"
"samyang","삼양식품","us","2022-04","2022-Q2","12497308","15142551875","2853657.7"
"samyang","삼양식품","us","2022-05","2022-Q2","10228723","12836285228","2353856.87"
"samyang","삼양식품","us","2022-06","2022-Q2","10469025","13138195016","2379462.55"
"samyang","삼양식품","us","2022-07","2022-Q3","8477722","10940713306","1872806.77"
"samyang","삼양식품","us","2022-08","2022-Q3","7070140","9177287782","1697142.21"
"samyang","삼양식품","us","2022-09","2022-Q3","8535189","11724271563","2066326.74"
"samyang","삼양식품","us","2022-10","2022-Q4","6215688","8864270006","1568096.61"
"samyang","삼양식품","us","2022-11","2022-Q4","6456084","8962983200","1781237.08"
"samyang","삼양식품","us","2022-12","2022-Q4","8292251","10847129357","2177272.07"
"samyang","삼양식품","us","2023-01","2023-Q1","7344564","9209995397","1740520.12"
"samyang","삼양식품","us","2023-02","2023-Q1","10725913","13488705035","2646474.06"
"samyang","삼양식품","us","2023-03","2023-Q1","12026824","15713041403","2773872.94"
"samyang","삼양식품","us","2023-04","2023-Q2","15860329","20801600462","3625853.33"
"samyang","삼양식품","us","2023-05","2023-Q2","15566252","20731907270","3707262.19"
"samyang","삼양식품","us","2023-06","2023-Q2","18742386","24288082044","4325046.17"
"samyang","삼양식품","us","2023-07","2023-Q3","8899509","11516118194","1974376.44"
"samyang","삼양식품","us","2023-08","2023-Q3","18978044","24879700642","3705596.84"
"samyang","삼양식품","us","2023-09","2023-Q3","14710433","19526135958","2850624.24"
"samyang","삼양식품","us","2023-10","2023-Q4","12205041","16452732403","2479421.95"
"samyang","삼양식품","us","2023-11","2023-Q4","13090109","17311047476","2645498.95"
"samyang","삼양식품","us","2023-12","2023-Q4","13529221","17640098738","2756442.01"
"samyang","삼양식품","us","2024-01","2024-Q1","14915162","19629346818","3042794.73"
"samyang","삼양식품","us","2024-02","2024-Q1","22291010","29698040717","4259489.47"
"samyang","삼양식품","us","2024-03","2024-Q1","18861493","25040795943","3629210.48"
"samyang","삼양식품","us","2024-04","2024-Q2","21513777","29177009058","4335941.94"
"samyang","삼양식품","us","2024-05","2024-Q2","21631392","29547942403","4323266.57"
"samyang","삼양식품","us","2024-06","2024-Q2","22542698","30994503570","4545958.17"
